Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,EMA_20,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,VWAP_D,STOCHk_14_3_3,STOCHd_14_3_3,OBV,ATRr_14,CMF_20,marketCap,forwardPE,dividendYield,profitMargins,bookValue,earningsQuarterlyGrowth,debtToEquity,revenueQuarterlyGrowth,returnOnAssets,returnOnEquity,news_sentiment
2018-01-02 00:00:00-05:00,40.03031656858133,40.53375363475761,39.81858848545459,40.52434158325195,102223600,0.0,0.0,,,,,,,,,,,,40.29222790115472,,,102223600.0,,,3450634764288,27.474186,0.0044,0.23971,3.767,-0.358,209.059,,0.21464,1.5741299,0.18112
2018-01-03 00:00:00-05:00,40.587860421113284,41.06306851269611,40.453769198969376,40.51728439331055,118071600,0.0,0.0,,,,,,,,,,,,40.67804070165868,,,-15848000.0,,,3450634764288,27.474186,0.0044,0.23971,3.767,-0.358,209.059,,0.21464,1.5741299,0.18112
2018-01-04 00:00:00-05:00,40.590211998188494,40.80899732734754,40.48199853229359,40.70548629760742,89738400,0.0,0.0,,,,,,,,,,,,40.665494052416186,,,73890400.0,,,3450634764288,27.474186,0.0044,0.23971,3.767,-0.358,209.059,,0.21464,1.5741299,0.18112
2018-01-05 00:00:00-05:00,40.801942803696065,41.25597560847178,40.71019503751803,41.1689338684082,94640000,0.0,0.0,,,,,,,,,,,,41.04503483813267,,,168530400.0,,,3450634764288,27.474186,0.0044,0.23971,3.767,-0.358,209.059,,0.21464,1.5741299,0.18112
2018-01-08 00:00:00-05:00,41.01601791381836,41.31243291499141,40.91720932378155,41.01601791381836,82271200,0.0,0.0,,,,,,,,,,,,41.08188671753044,,,86259200.0,,,3450634764288,27.474186,0.0044,0.23971,3.767,-0.358,209.059,,0.21464,1.5741299,0.18112
2018-01-09 00:00:00-05:00,41.06308136679511,41.18305813886433,40.794895248910315,41.01132583618164,86336000,0.0,0.0,,,,,,,,,,,,40.99642640798543,,,-76800.0,,,3450634764288,27.474186,0.0044,0.23971,3.767,-0.358,209.059,,0.21464,1.5741299,0.18112
2018-01-10 00:00:00-05:00,40.73607229093071,41.00425834178662,40.698431261774694,41.00190353393555,95839600,0.0,0.0,,,,,,,,,,,,40.901531045832286,,,-95916400.0,,,3450634764288,27.474186,0.0044,0.23971,3.767,-0.358,209.059,,0.21464,1.5741299,0.18112
2018-01-11 00:00:00-05:00,41.07248225287791,41.284210363495745,41.04895930035128,41.234806060791016,74670800,0.0,0.0,,,,,,,,,,,,41.189325241546015,,,-21245600.0,,,3450634764288,27.474186,0.0044,0.23971,3.767,-0.358,209.059,,0.21464,1.5741299,0.18112
2018-01-12 00:00:00-05:00,41.446523278327135,41.724121350537196,41.32184052400306,41.66060256958008,101672400,0.0,0.0,,,,,,,,,,,,41.568854814706775,,,80426800.0,,,3450634764288,27.474186,0.0044,0.23971,3.767,-0.358,209.059,,0.21464,1.5741299,0.18112
2018-01-16 00:00:00-05:00,41.85116034177182,42.201685698398954,41.43711978621628,41.448883056640625,118263600,0.0,0.0,,,,,,,,,,,,41.69589618041862,,,-37836800.0,,,3450634764288,27.474186,0.0044,0.23971,3.767,-0.358,209.059,,0.21464,1.5741299,0.18112
